region,dong,gubun,voters,votes,A,B,c1,c2,c3
목포시,용당1동,계,7426,3878,3239,281,67,127,43
목포시,용당1동,관내사전투표,1924,1923,1678,87,33,49,14
목포시,용당1동,선거일투표,5502,1955,1561,194,34,78,29
목포시,용당2동,계,3788,2035,1697,137,41,60,28
목포시,용당2동,관내사전투표,1157,1157,1000,68,21,33,14
목포시,용당2동,선거일투표,2631,878,697,69,20,27,14
목포시,연동,계,3089,1606,1361,103,19,35,24
목포시,연동,관내사전투표,802,802,704,24,10,21,11
목포시,연동,선거일투표,2287,804,657,79,9,14,13
목포시,산정동,계,6247,3329,2783,269,58,95,46
목포시,산정동,관내사전투표,1562,1561,1352,90,23,46,13
목포시,산정동,선거일투표,4685,1768,1431,179,35,49,33
목포시,연산동,계,6088,3014,2514,214,52,129,24
목포시,연산동,관내사전투표,1352,1352,1184,49,21,40,5
목포시,연산동,선거일투표,4736,1662,1330,165,31,89,19
목포시,원산동,계,8611,4441,3681,295,88,197,58
목포시,원산동,관내사전투표,2222,2222,1934,86,46,73,21
목포시,원산동,선거일투표,6389,2219,1747,209,42,124,37
목포시,대성동,계,3599,2080,1735,161,50,60,22
목포시,대성동,관내사전투표,1257,1257,1097,59,33,32,8
목포시,대성동,선거일투표,2342,823,638,102,17,28,14
목포시,목원동,계,4984,2676,2181,250,44,68,37
목포시,목원동,관내사전투표,1391,1391,1197,80,19,30,17
목포시,목원동,선거일투표,3593,1285,984,170,25,38,20
목포시,동명동,계,3615,1952,1659,114,31,51,24
목포시,동명동,관내사전투표,1162,1161,1018,52,16,26,7
목포시,동명동,선거일투표,2453,791,641,62,15,25,17
목포시,삼학동,계,4287,2414,2074,156,47,79,20
목포시,삼학동,관내사전투표,1354,1354,1206,56,23,44,10
목포시,삼학동,선거일투표,2933,1060,868,100,24,35,10
목포시,만호동,계,1807,959,767,76,19,32,19
목포시,만호동,관내사전투표,579,579,480,28,10,22,9
목포시,만호동,선거일투표,1228,380,287,48,9,10,10
목포시,유달동,계,3169,1760,1440,118,31,53,25
목포시,유달동,관내사전투표,1048,1048,873,53,13,35,9
목포시,유달동,선거일투표,2121,712,567,65,18,18,16
목포시,죽교동,계,2219,1208,955,108,29,41,20
목포시,죽교동,관내사전투표,736,735,604,46,16,23,12
목포시,죽교동,선거일투표,1483,473,351,62,13,18,8
목포시,북항동,계,6606,3626,3052,258,57,121,49
목포시,북항동,관내사전투표,2135,2135,1868,107,31,58,20
목포시,북항동,선거일투표,4471,1491,1184,151,26,63,29
목포시,용해동,계,11539,6000,5010,408,98,272,66
목포시,용해동,관내사전투표,3203,3201,2791,146,46,117,25
목포시,용해동,선거일투표,8336,2799,2219,262,52,155,41
목포시,이로동,계,7170,4047,3315,326,162,119,22
목포시,이로동,관내사전투표,2027,2027,1728,114,73,60,6
목포시,이로동,선거일투표,5143,2020,1587,212,89,59,16
목포시,상동,계,14954,7610,6214,600,173,275,128
목포시,상동,관내사전투표,3125,3125,2623,149,56,102,50
목포시,상동,선거일투표,11829,4485,3591,451,117,173,78
목포시,하당동,계,10738,4476,3659,402,153,135,44
목포시,하당동,관내사전투표,1786,1786,1534,91,57,50,16
목포시,하당동,선거일투표,8952,2690,2125,311,96,85,28
목포시,신흥동,계,12110,6072,4966,528,127,248,82
목포시,신흥동,관내사전투표,2506,2503,2126,153,56,107,21
목포시,신흥동,선거일투표,9604,3569,2840,375,71,141,61
목포시,삼향동,계,3900,2296,1903,168,57,91,26
목포시,삼향동,관내사전투표,1525,1525,1299,95,35,51,9
목포시,삼향동,선거일투표,2375,771,604,73,22,40,17
목포시,옥암동,계,7885,4288,3603,316,83,159,48
목포시,옥암동,관내사전투표,2433,2433,2146,97,56,72,21
목포시,옥암동,선거일투표,5452,1855,1457,219,27,87,27
목포시,부흥동,계,6701,3678,2993,297,86,156,54
목포시,부흥동,관내사전투표,2171,2171,1821,129,44,95,29
목포시,부흥동,선거일투표,4530,1507,1172,168,42,61,25
목포시,부주동,계,14867,7321,5934,715,179,300,87
목포시,부주동,관내사전투표,3397,3396,2906,211,73,140,28
목포시,부주동,선거일투표,11470,3925,3028,504,106,160,59
목포시,잘못 투입·구분된 투표지,,0,9,8,0,0,0,0
여수시,돌산읍,계,9415,4655,3868,414,84,78,71
여수시,돌산읍,관내사전투표,1291,1291,1112,79,11,20,14
여수시,돌산읍,선거일투표,8124,3364,2756,335,73,58,57
여수시,소라면,계,15085,8184,6732,800,170,157,138
여수시,소라면,관내사전투표,2775,2775,2327,221,53,51,49
여수시,소라면,선거일투표,12310,5409,4405,579,117,106,89
여수시,율촌면,계,5102,2829,2293,264,62,58,52
여수시,율촌면,관내사전투표,1457,1457,1220,108,27,30,16
여수시,율촌면,선거일투표,3645,1372,1073,156,35,28,36
여수시,화양면,계,5080,2892,2380,269,55,46,48
여수시,화양면,관내사전투표,1556,1555,1304,114,34,26,21
여수시,화양면,선거일투표,3524,1337,1076,155,21,20,27
여수시,남면,계,1954,1235,1032,88,24,22,20
여수시,남면,관내사전투표,480,480,416,27,8,10,0
여수시,남면,선거일투표,1474,755,616,61,16,12,20
여수시,화정면,계,1535,1037,847,80,32,19,23
여수시,화정면,관내사전투표,149,149,135,6,2,2,2
여수시,화정면,선거일투표,1386,888,712,74,30,17,21
여수시,삼산면,계,1482,942,771,107,19,18,10
여수시,삼산면,관내사전투표,351,351,300,31,5,8,3
여수시,삼산면,선거일투표,1131,591,471,76,14,10,7
여수시,동문동,계,3320,1921,1557,204,34,39,23
여수시,동문동,관내사전투표,963,963,814,75,16,23,8
여수시,동문동,선거일투표,2357,958,743,129,18,16,15
여수시,한려동,계,2386,1458,1166,159,29,29,30
여수시,한려동,관내사전투표,825,825,690,69,16,12,18
여수시,한려동,선거일투표,1561,633,476,90,13,17,12
여수시,중앙동,계,3016,1643,1354,165,22,28,29
여수시,중앙동,관내사전투표,833,833,738,48,5,14,8
여수시,중앙동,선거일투표,2183,810,616,117,17,14,21
여수시,충무동,계,2711,1374,1149,107,36,25,16
여수시,충무동,관내사전투표,618,618,516,42,16,11,8
여수시,충무동,선거일투표,2093,756,633,65,20,14,8
여수시,광림동,계,4742,2464,2054,217,45,45,48
여수시,광림동,관내사전투표,946,946,830,49,19,18,14
여수시,광림동,선거일투표,3796,1518,1224,168,26,27,34
여수시,서강동,계,3030,1570,1298,149,26,32,24
여수시,서강동,관내사전투표,730,730,633,48,8,13,13
여수시,서강동,선거일투표,2300,840,665,101,18,19,11
여수시,대교동,계,4032,2193,1839,165,38,38,45
여수시,대교동,관내사전투표,1064,1063,922,65,14,16,17
여수시,대교동,선거일투표,2968,1130,917,100,24,22,28
여수시,국동,계,8274,4669,3932,354,85,68,92
여수시,국동,관내사전투표,2371,2370,2070,126,41,33,46
여수시,국동,선거일투표,5903,2299,1862,228,44,35,46
여수시,월호동,계,5498,3301,2708,319,63,63,61
여수시,월호동,관내사전투표,1526,1526,1326,97,34,29,15
여수시,월호동,선거일투표,3972,1775,1382,222,29,34,46
여수시,여서동,계,12505,6947,5772,689,90,125,140
여수시,여서동,관내사전투표,2421,2421,2123,162,28,37,32
여수시,여서동,선거일투표,10084,4526,3649,527,62,88,108
여수시,문수동,계,14221,7774,6376,774,169,151,143
여수시,문수동,관내사전투표,2941,2941,2527,199,68,55,41
여수시,문수동,선거일투표,11280,4833,3849,575,101,96,102
여수시,미평동,계,9336,5213,4130,601,133,116,104
여수시,미평동,관내사전투표,2567,2567,2186,171,62,52,37
여수시,미평동,선거일투표,6769,2646,1944,430,71,64,67
여수시,둔덕동,계,7177,3968,3239,410,88,86,73
여수시,둔덕동,관내사전투표,1817,1817,1604,108,32,26,25
여수시,둔덕동,선거일투표,5360,2151,1635,302,56,60,48
여수시,만덕동,계,7416,4287,3402,538,83,88,86
