시도,동수,동구분수,A점유율,실제_동,실제_동구분,시뮬_기대,P(관측이상)
서울특별시,427,854,0.505,0,0,0.06,1.0
부산광역시,206,412,0.482,0,0,0.02,1.0
대구광역시,150,300,0.55,0,0,0.01,1.0
인천광역시,158,316,0.51,0,1,0.01,0.011
광주광역시,96,192,0.759,0,0,0.02,1.0
대전광역시,82,164,0.512,0,0,0.0,1.0
울산광역시,55,110,0.463,0,0,0.0,1.0
경기도,602,1204,0.53,0,0,0.12,1.0
충청북도,153,306,0.519,0,0,0.07,1.0
충청남도,208,416,0.501,0,0,0.09,1.0
전라남도,297,594,0.774,0,4,1.2,0.034
경상북도,321,642,0.673,0,1,0.5,0.392
경상남도,305,610,0.514,0,1,0.28,0.247
제주특별자치도,43,86,0.606,0,0,0.0,1.0
세종특별자치시,24,48,0.592,0,0,0.0,1.0
강원특별자치도,188,376,0.488,0,0,0.11,1.0
전북특별자치도,243,486,0.499,0,1,0.45,0.361
